Gas,Pressure (bar),0.0 °C,200.0 °C,400.0 °C,600.0 °C,800.0 °C,1000.0 °C
He,1,0.17626836049860828,0.10175991264967736,0.07152596400534034,0.05514253297852013,0.044865771485994355,0.037817776907822995
He,5,0.8813418024930414,0.5087995632483868,0.3576298200267017,0.2757126648926006,0.22432885742997177,0.18908888453911496
He,10,1.7626836049860828,1.0175991264967736,0.7152596400534034,0.5514253297852012,0.44865771485994355,0.3781777690782299
He,20,3.5253672099721656,2.0351982529935473,1.4305192801068067,1.1028506595704024,0.8973154297198871,0.7563555381564598
He,50,8.813418024930414,5.087995632483868,3.5762982002670167,2.7571266489260062,2.2432885742997177,1.8908888453911497
Ne,1,0.8885633890835415,0.5129685928947888,0.36056018677585877,0.2779718143826025,0.22616697547236575,0.19063825136721466
Ne,5,4.442816945417707,2.5648429644739443,1.802800933879294,1.3898590719130124,1.1308348773618289,0.9531912568360733
Ne,10,8.885633890835415,5.129685928947889,3.605601867758588,2.779718143826025,2.2616697547236577,1.9063825136721466
Ne,20,17.77126778167083,10.259371857895777,7.211203735517176,5.55943628765205,4.523339509447315,3.8127650273442932
Ne,50,44.42816945417708,25.648429644739444,18.02800933879294,13.898590719130125,11.308348773618288,9.531912568360733
Ar,1,1.7590728116908327,1.0155146116735727,0.7137944566788249,0.5502957550402003,0.44773865583874656,0.3774030856641801
Ar,5,8.795364058454165,5.077573058367864,3.5689722833941246,2.751478775201002,2.238693279193733,1.8870154283209009
Ar,10,17.59072811690833,10.155146116735729,7.137944566788249,5.502957550402004,4.477386558387466,3.7740308566418017
Ar,20,35.18145623381666,20.310292233471458,14.275889133576499,11.005915100804009,8.954773116774932,7.548061713283603
Ar,50,87.95364058454165,50.77573058367864,35.68972283394125,27.51478775201002,22.38693279193733,18.870154283209008
Kr,1,3.6900546114872284,2.130272465661495,1.4973459364595356,1.154370288183859,0.9392334875159448,0.7916886597240987
Kr,5,18.450273057436142,10.651362328307474,7.486729682297678,5.771851440919295,4.696167437579724,3.9584432986204936
Kr,10,36.900546114872284,21.30272465661495,14.973459364595357,11.54370288183859,9.392334875159449,7.916886597240987
Kr,20,73.80109222974457,42.6054493132299,29.946918729190713,23.08740576367718,18.784669750318898,15.833773194481974
Kr,50,184.5027305743614,106.51362328307475,74.86729682297678,57.71851440919294,46.961674375797244,39.58443298620494
Xe,1,5.781232338211911,3.337511599244602,2.3459015274197186,1.8085593691606063,1.4715031572311263,1.2403437247634477
Xe,5,28.90616169105956,16.687557996223013,11.729507637098594,9.042796845803032,7.357515786155632,6.201718623817239
Xe,10,57.81232338211912,33.37511599244603,23.45901527419719,18.085593691606064,14.715031572311265,12.403437247634479
Xe,20,115.62464676423824,66.75023198489205,46.91803054839438,36.17118738321213,29.43006314462253,24.806874495268957
Xe,50,289.0616169105956,166.87557996223012,117.29507637098594,90.42796845803032,73.57515786155632,62.01718623817239
N2,1,1.2335262509736484,0.7121160212479172,0.5005388033179113,0.3858875284354945,0.3139707361072096,0.2646488594850976
N2,5,6.167631254868241,3.560580106239586,2.502694016589557,1.9294376421774724,1.569853680536048,1.3232442974254879
N2,10,12.335262509736483,7.121160212479172,5.005388033179114,3.8588752843549448,3.139707361072096,2.6464885948509758
N2,20,24.670525019472965,14.242320424958343,10.010776066358227,7.7177505687098895,6.279414722144192,5.2929771897019515
N2,50,61.67631254868242,35.605801062395855,25.026940165895567,19.294376421774725,15.69853680536048,13.23244297425488
